prep_time,energy,calories,fat,sat_fat,carbs,sugar,fiber,protein,cholesterol,sodium,rating,rating_count
30,2469,590,21,7,64,25,10,39,135,400,3.5,2545
20,3473,830,41,18,63,19,6,37,120,1010,3.4,6217
30,2301,550,21,9,50,12,9,38,135,450,3.7,88
35,3431,820,23,9,70,14,2,29,135,810,3.5,2036
30,4602,1100,67,25,82,12,9,42,175,690,3.6,412
50,3473,830,41,18,78,30,10,35,130,940,3.4,418
30,2803,670,29,15,90,10,9,19,60,180,3.2,602
30,3515,840,47,17,88,9,11,16,65,560,3.4,2189
30,3933,940,39,15,92,20,11,28,50,1490,3.5,1676
30,2469,590,28,16,40,7,5,33,325,1470,3.5,1297
35,2008,480,13,2.5,52,22,6,38,120,660,3.4,248
35,3138,750,40,15,68,11,10,36,120,370,3.6,4798
35,3264,780,35,14,53,18,12,46,125,1000,3.5,5024
45,2845,680,32,15,51,14,10,37,165,750,3.5,1157
40,2887,690,43,11,51,12,10,29,115,260,3.5,2228
35,3264,780,40,17,61,21,4,46,145,440,3.4,3554
40,3222,770,33,15,71,9,3,49,160,1150,3.5,14513
35,4268,1020,58,22,62,18,5,43,185,1090,3.4,3310
35,2636,630,26,10,55,6,2,40,150,600,3.4,461
35,3598,860,38,15,70,11,7,40,160,2030,3.6,3532
45,3096,740,39,14,66,24,10,32,110,880,3.4,3341
25,3473,830,56,12,62,6,4,19,40,910,3.4,3282
30,3138,750,43,22,48,9,6,35,100,980,3.4,2992
40,3096,740,38,17,62,20,9,40,145,600,3.6,1455
30,3431,820,39,11,81,15,5,36,100,1920,3.5,7482
30,1883,450,15,4.5,35,6,6,40,130,380,3.4,156
20,4142,990,64,22,53,15,8,42,155,1160,3.5,2020
40,2971,710,40,19,52,11,10,40,190,540,3.2,2785
20,4017,960,62,25,55,9,5,37,180,1040,3.5,3946
30,3473,830,40,20,80,9,8,43,190,430,3.4,1131
30,3222,770,46,26,57,7,6,27,145,1150,3.6,4766
40,2678,640,26,10,56,18,11,50,230,350,3.4,1190
40,3054,730,34,15,58,13,9,45,175,520,3.5,11384
20,3389,810,45,18,50,14,2,35,120,1480,3.6,6370
30,2301,550,23,6,50,16,8,39,110,550,3.6,405
35,4435,1060,65,26,81,10,5,36,140,1130,3.4,1680
35,3807,910,54,19,55,20,4,40,150,1000,3.5,11362
35,3515,840,40,13,93,14,8,27,55,1100,3.5,2842
35,2594,620,36,13,56,14,14,20,50,470,3.4,3730
35,4393,1050,41,17,120,18,25,29,65,840,3.6,2360
35,3222,770,28,11,81,9,16,45,120,1620,3.2,237
25,2510,600,38,14,50,5,4,23,245,820,3.6,2851
35,2636,630,24,11,61,23,10,42,160,450,3.4,2311
35,3347,800,56,21,62,14,8,38,155,1190,3.2,2241
20,3473,830,40,17,86,39,3,32,130,440,3.6,6287
30,2636,630,31,7,45,5,7,44,135,510,3.4,4517
35,3556,850,47,19,66,9,7,41,140,1380,3.3,3190
35,2929,700,31,10,66,21,10,39,135,480,3.5,4613
20,2929,700,35,12,55,23,5,42,130,370,3.4,3753
45,3054,730,42,19,58,12,11,41,175,520,3.3,1021
40,5858,1400,83,39,102,13,12,61,270,2550,3.5,1859
30,4017,960,43,15,98,15,25,35,45,1330,3.3,1801
30,2510,600,25,9,74,7,13,20,40,600,3.4,125
25,2510,600,29,12,43,7,6,33,300,1620,3.5,1199
40,2427,580,19,7,72,40,8,30,125,470,3.3,177
20,3012,720,41,16,50,5,7,33,125,410,3.5,8320
30,3264,780,41,18,65,10,3,36,180,1590,3.5,2643
30,3724,890,48,19,64,11,6,39,140,700,3.4,4098
40,3264,780,39,15,68,36,7,39,150,330,3.5,2016
35,2803,670,30,11,58,15,7,42,155,1210,3.5,5616
45,2636,630,29,11,57,12,7,33,110,1200,3.5,3048
25,3891,930,50,19,82,11,7,36,115,1780,3.5,2278
20,2176,520,28,12,40,3,5,32,155,400,3.0,700
20,3012,720,39,18,53,15,8,34,135,830,3.5,1052
30,3180,760,40,22,80,10,4,22,95,360,3.6,4468
40,2720,650,30,9,78,14,13,23,30,590,3.4,1203
35,2385,570,23,9,63,17,12,29,40,550,3.4,1927
35,2803,670,33,11,48,10,11,44,120,720,3.6,1044
30,2301,550,22,8,48,15,7,37,130,310,3.8,62
35,3347,800,31,14,101,8,14,22,40,1960,3.6,22
30,2803,670,32,13,53,13,4,35,110,880,3.4,469
40,4393,1050,60,22,89,21,6,44,185,1150,3.5,9446
40,3264,780,39,15,68,36,7,39,150,330,3.5,2016
30,3389,810,32,13,83,14,7,42,155,1540,3.5,3152
40,2929,700,33,6,64,27,10,41,95,690,3.4,805
30,2678,640,33,8,75,13,4,14,200,990,3.5,3893
25,2092,500,17,3.5,72,15,7,19,20,560,3.5,2287
45,2929,700,34,17,64,9,7,35,180,450,3.4,676
20,3682,880,53,18,60,13,3,40,160,890,3.5,1640
45,2887,690,36,14,58,14,12,36,155,450,3.6,48
50,4017,960,52,25,73,22,12,41,205,860,3.5,1192
40,2887,690,43,11,51,12,10,29,115,260,3.5,2228
30,3264,780,37,9,77,12,4,30,95,1180,4.0,14
30,3515,840,47,17,88,9,11,16,65,560,3.4,2189
35,2301,550,20,6,51,20,8,40,135,290,3.5,6408
45,3096,740,39,14,66,24,10,32,110,880,3.4,3341
35,3389,810,34,14,82,16,6,40,170,510,3.4,2501
20,4017,960,62,25,55,9,5,37,180,1040,3.5,3946
30,2301,550,21,9,50,12,9,38,135,450,3.7,88
35,2887,690,38,19,66,11,8,20,85,840,3.4,2207
25,3891,930,50,19,82,11,7,36,115,1780,3.5,2278
35,3515,840,40,13,93,14,8,27,55,1100,3.5,2842
30,2092,500,22,5,34,5,7,40,130,410,3.5,2908
35,3807,910,54,19,55,20,4,40,150,1000,3.5,11362
40,3849,920,48,22,77,9,6,31,135,1300,3.5,801
40,3431,820,49,23,45,6,6,51,170,640,3.4,836
